OBJECTID,ROAD_NUMBER,ROAD_NAME,DIRECTION,ELEMENTS,SURFACE_TYPE,NUMBER_OF_TRAFFIC_LANES,LEFT_SHOULDER_WIDTH,TRAFFIC_WIDTH,RIGHT_SHOULDER_WIDTH,SEAL_WIDTH
12557,2550,HUME HWY,F, L1+L2+RT1+LT1,S,2,0,7.6,0,7.6
2232,2300,MELBA HWY,F, L1+SL+SR+L2,S,2,2,7,2,11
14251,2530,CALDER HWY,F, L1+SL+L2+RON1+RON2+RONSHL,A,2,2.5,7.6,0,10.1
224,2090,DANDENONG VALLEY HWY,F, L1+L2+RT1+TL,A,3,0,11.1,0,11.1
12558,2530,CALDER HWY,F, L1+SL+SR+L2,S,2,1.6,7.2,1.5,10.2
9258,2510,PRINCES HWY,R, L1+SL+SR+L2+RON1,S,2,3.2,7.4,1.5,12.1
6001,2510,PRINCES HWY,R, L1+SL+SR+L2,S,2,3.2,7.4,1.5,12.1
14252,2540,NORTHERN HWY,F, L1+SL+SR+L2,S,2,1.6,6.8,1.6,10
225,2000,MONASH FWY,R, L1+SR+L2+L3+L4+L5+RT1+RON1+RON2+RONSHL,A,5,0,17.5,1,18.5
12559,2520,WESTERN HWY,F, L1+SL+SR+L2+LT1,S,2,2,7.2,2,11.2
9259,2510,PRINCES HWY,R, L1+L2+L3+LT1,A,3,0,10.5,0,10.5
2233,2000,MONASH FWY,F, L1+SL+SR+L2+L3+L4+L5,A,5,1,18,1,20
226,2090,DANDENONG VALLEY HWY,F, L1+L2+L3+RT1+RT2,A,3,0,10.2,0,10.2
14253,2540,NORTHERN HWY,F, L1+SL+SR+L2,S,2,1.6,7.6,1.6,10.8
12560,2530,CALDER HWY,F, L1+SL+SR+L2,S,2,1.5,7.2,1.5,10.2
6002,2510,PRINCES HWY,R, L1+L2+L3+LBL,A,3,0,9.6,0,9.6
9260,2500,PRINCES HWY,F, L1+SR+L2+LT1,A,2,0,7.4,2.5,9.9
2234,2290,WELLINGTON ROAD HWY,F, L1+L2+L3+RT1+LT1,A,3,0,10.5,0,10.5
227,2110,WIMMERA HWY,F, L1+L2,S,2,0,7,0,7
12561,2520,WESTERN HWY,R, L1+SL+SR+L2,S,2,2.6,7.4,1.2,11.2
9261,2460,BEACONSFIELD-NAR NAR GOON RD,F, L1+L2+L3,A,3,0,10.5,0,10.5
14254,2550,HUME HWY,F, L1+SL+SR+L2+RON1+ROF1+RON2+RONSHL+RONSHR+ROF2+ROFSHL+ROFSHR,S,2,3.2,7.6,3,13.7
2235,2180,STRZELECKI HWY,F, L1+SL+SR+L2,A,2,2,7.4,2,11.4
6003,2510,PRINCES HWY,F, L1+SL+SR+L2,S,2,3,7,1.8,11.8
228,2190,SURFCOAST HWY,R, L1+L2,S,2,0,6.8,0,6.8
12562,2550,HUME HWY,F, L1+SL+SR+L2+RONSHL,A,2,3.2,7.2,1.6,12
9262,2500,PRINCES HWY,R, L1+SL+SR+L2+RON1+ROF1+RON2+ROF2,S,2,3.2,7.4,1.5,12.1
14255,2530,CALDER HWY,F, L1+SL+SR+L2,S,2,1.5,7.4,1.5,10.4
2236,2010,HOPKINS HWY,F, L1+L2+RT1,S,2,0,7.2,0,7.2
6004,2500,PRINCES HWY,F, L1+SL+SR+L2,A,2,1.5,6.4,1.5,9.4
229,2120,DOCKLANDS HWY,F, L1+L2+L3+L4+LT1,A,4,0,14.4,0,14.4
9263,2510,PRINCES HWY,F, L1+SL+SR+L2,S,2,3.6,7.2,1.5,12.2
2237,2070,WARRIGAL HWY,R, L1+L2+L3,A,3,0,11.1,0,11.1
14256,2530,CALDER HWY,F, L1+SL+SR+L2,S,2,2.5,7.2,1.3,11
6005,2500,PRINCES HWY,F, L1+SL+L2+L3+L4,S,4,1.5,14.8,0,16.3
9264,2510,PRINCES HWY,R, L1+L2+L3+RT1+LT1,A,3,0,10.5,0,10.5
14257,2550,HUME HWY,F, L1+L2+ROF1+ROF2+ROFSHL+ROFSHR,A,2,0,11,0,11
12563,2530,CALDER HWY,F, L1+SL+SR+L2+ROF1+ROF2+ROFSHL,S,2,2.8,7.4,1.5,11.7
230,2400,STATE (BELL/SPRINGVALE) HWY,F, L1+L2+L3+RT1,A,3,0,10.5,0,10.5
2238,2060,NORTH ROAD HWY,F, L1+L2+L3+L4,S,4,0,12.8,0,12.8
14258,2520,WESTERN HWY,R, L1+SL+SR+L2+RON1+RONSHL+RONSHR,S,2,2.5,7,1.2,10.7
231,2320,BULLEEN HWY,F, L1+L2+LBL,S,2,0,7.4,0,7.4
6006,2500,PRINCES HWY,F, L1+SR+L2+RT1,A,2,0,7.2,1.5,8.7
12564,2520,WESTERN HWY,F, L1+SL+SR+L2+RON1+RONSHL+RONSHR,S,2,2.6,7.4,1.2,11.2
14259,2530,CALDER HWY,F, L1+SL+SR+L2,S,2,2.4,7.2,2.4,12
232,2090,DANDENONG VALLEY HWY,R, L1+L2+L3+RT1+RT2,A,3,0,11.1,0,11.1
12565,2530,CALDER HWY,F, L1+SL+SR+L2,S,2,2.5,7.2,2.5,12.2
6007,2510,PRINCES HWY,F, L1+SL+SR+L2,S,2,3.4,7,1.8,12.2
14260,2530,CALDER HWY,F, L1+SL+SR+L2+RON1+RONSHR+ROFSHL,S,2,3,7.4,1,11.4
9265,2510,PRINCES HWY,F, L1+SL+L2+LT1R,S,2,2.6,7.2,0,9.7
2239,2040,MELTON HWY,R, L1+L2+RT1+RT2+LBL,A,2,0,7.1,0,7.1
12566,2550,HUME HWY,F, L1+SL+SR+L2,S,2,2,7.6,1.5,11.1
233,2090,DANDENONG VALLEY HWY,R, L1+L2,S,2,0,7.2,0,7.2
14261,2520,WESTERN HWY,F, L1+L2+L3+LT1,A,3,0,10.8,0,10.8
6008,2500,PRINCES HWY,F, L1+SL+SR+L2,S,2,3,6.6,2.8,12.4
2240,2050,STATE (LOWER DANDENONG/CHELTENHAM) HWY,R, L1+L2+L3+LBL+TL,A,4,0,13.7,0,13.7
9266,2500,PRINCES HWY,F, L1+SL+SR+L2,S,2,1.5,7.2,1.5,10.2
12567,2530,CALDER HWY,F, L1+SL+SR+L2,S,2,1.8,7,2.8,11.6
234,2300,MELBA HWY,F, L1+L2+RT1,S,2,0,6.8,0,6.8
14262,2550,HUME HWY,F, L1+L2,A,2,0,11,0,11
12568,2530,CALDER HWY,F, L1+SL+SR+L2+RON1+RON2+RONSHL+RONSHR,S,2,2.8,7,1.5,11.3
2241,2090,DANDENONG VALLEY HWY,R, L1+L2+L3,A,3,0,10.5,0,10.5
9267,2510,PRINCES HWY,F, L1+SL+SR+L2+ROF1+ROFSHL,S,2,3.6,7.2,1.5,12.2
6009,2500,PRINCES HWY,R, L1+L2+RT1+LT1,A,2,0,11.4,0,11.4
235,2000,MONASH FWY,F, L1+SL+L2+L3+L4+RON1+RON2+RONSHL+RONSHR,A,4,1,14,0,15
14263,2530,CALDER HWY,R, L1+SL+SR+L2,S,2,2.8,7.4,2.8,13
2242,2090,DANDENONG VALLEY HWY,R, L1+L2,S,2,0,7.4,0,7.4
6010,2500,PRINCES HWY,F, L1+L2+LPL+RPL,A,2,0,7.6,0,7.6
9268,2510,PRINCES HWY,R, L1+L2+L3+L4,A,4,0,14,0,14
236,2070,WARRIGAL HWY,F, L1+L2+L3,A,3,0,11.1,0,11.1
12569,2520,WESTERN HWY,F, L1+SL+SR+L2+RT1R,S,2,3.5,7.4,3.5,14.4
