OBJECTID,ROAD_NUMBER,ROAD_NAME,DIRECTION,ELEMENTS,SURFACE_TYPE,NUMBER_OF_TRAFFIC_LANES,LEFT_SHOULDER_WIDTH,TRAFFIC_WIDTH,RIGHT_SHOULDER_WIDTH,SEAL_WIDTH
29552,2996,EASTLINK TOLLWAY FWY,R, L1+SL+SR+L2+L3+L4,A,4,3.7,14.6,3,21.3
28264,2780,HAMILTON HWY,F, L1+SL,A,1,3,3.8,0,6.8
25905,3241,JAMIESON-LICOLA RD,R, L1,S,1,0,4.4,0,4.4
27850,2780,HAMILTON HWY,F, L1+SL+SR+L2+LIP,S,2,1.5,6.8,1.5,9.8
28265,2810,TULLAMARINE FWY,R, L1+SL+SR+L2+RON1+ROF1,A,2,2.8,7.4,1.8,12
29553,2880,METROPOLITAN RING RD,F, L1+SL+SR+L2,C,2,2.5,8,1.2,11.7
25906,2730,BELLARINE HWY,R, L1+L2+LBL,A,2,0,6.2,0,6.2
27851,4000,VICTORIA VALLEY RD,F, L1+L2,S,2,0,6.4,0,6.4
28266,2800,CORIO-WAURN PONDS RD,F, L1+L2+L3+LT1,A,3,0,9.9,0,9.9
29554,2750,BURWOOD HWY,R, L1+L2+L3+RT1+RT2,A,3,0,11.1,0,11.1
25907,2750,BURWOOD HWY,R, L1+L2+L3+RT1+RT2,A,3,0,10.5,0,10.5
27852,2900,WESTERN RING RD,R, L1+SL+SR+L2+L3+RON1+RON2,A,3,2.4,10.5,2.4,15.3
29555,2750,BURWOOD HWY,F, L1+L2+L3,A,3,0,11.1,0,11.1
28267,4008,MARYSVILLE RD,F, L1+L2,S,2,0,1.7,0,1.7
25908,2780,HAMILTON HWY,F, L1+L2,S,2,0,7.6,0,7.6
27853,2995,EASTLINK (RINGWOOD CONNECTION) FWY,F, L1+L2+L3+L4+RT1+RT2+LT1,A,4,0,14,0,14
29556,4890,GREAT OCEAN RD,F, L1+SL+SR+L2+RT1+LT1R,S,2,3,6.6,1.2,10.7
28268,2730,BELLARINE HWY,F, L1+L2+LBL,S,2,0,6.4,0,6.4
25909,4005,GREAT ALPINE RD,F, L1+L2,S,2,0,7,0,7
27854,2880,METROPOLITAN RING RD,F, L1+SL+SR+L2+L3+ROF1+ROF2,A,3,2.4,10.5,2.5,15.4
29557,2780,HAMILTON HWY,F, L1+SL+SR+L2,S,2,0.8,6.8,0.8,8.4
28269,2900,WESTERN RING RD,R, L1+SL+SR+L2+L3,A,3,3,10.5,1.2,14.7
27855,2750,BURWOOD HWY,R, L1+L2+L3,A,3,0,12,0,12
25910,4004,METUNG RD,F, L1+SL+L2,S,2,1,7.6,0,8.6
29558,4005,GREAT ALPINE RD,F, L1+SL+SR+L2,S,2,2,7.6,2,11.6
28270,2750,BURWOOD HWY,F, L1+L2+L3+RT1,A,3,0,10.7,0,10.7
27856,2750,BURWOOD HWY,F, L1+L2+L3,A,3,0,11.1,0,11.1
25911,2860,MOOROODUC HWY,R, L1+L2,A,2,0,7.6,0,7.6
28271,2750,BURWOOD HWY,F, L1+L2,A,2,0,7.4,0,7.4
27857,2740,PYRENEES HWY,F, L1+L2,S,2,0,7,0,7
29559,4005,GREAT ALPINE RD,F, L1+L2,S,2,0,8,0,8
25912,2740,PYRENEES HWY,F, L1+L2+LPL+RPL,S,2,0,7.4,0,7.4
28272,2740,PYRENEES HWY,F, L1+L2,S,2,0,7.4,0,7.4
27858,2900,WESTERN RING RD,R, L1+SL+SR+L2+L3+L4+ROF1+ROF2,A,4,2.4,14,1.5,17.9
29560,2850,GREENSBOROUGH HWY,F, L1+L2+L3+L4,A,4,0,15.9,0,15.9
25913,2800,CORIO-WAURN PONDS RD,F, L1+L2+L3+RT1+ROF1,S,3,0,11,0,11
28273,2860,MOOROODUC HWY,R, L1+L2+L3,A,3,0,10.5,0,10.5
27859,2880,METROPOLITAN RING RD,F, L1+SL+SR+L2+L3+RON1+RON2,A,3,2,10.5,1.2,13.7
29561,2840,FRANKSTON FWY,F, L1+SL+SR+L2+ROF1+ROF2+ROFSHL+ROFSHR,S,2,3,7.4,1.2,11.6
25914,4009,DARTMOUTH RD,F, L1+L2,S,2,0,7,0,7
28274,2790,KIEWA VALLEY HWY,F, L1+L2,G,2,0,5.8,0,5.8
27860,2750,BURWOOD HWY,R, L1+L2+LT1,S,2,0,7.4,0,7.4
29562,2730,BELLARINE HWY,F, L1+SL+SR+L2,S,2,1.4,6.5,1.5,9.4
25915,2730,BELLARINE HWY,F, L1+L2+LBL,S,2,0,6.4,0,6.4
28275,5048,MELTON MAIN RD,F, L1+L2+L3+L4,A,4,0,14.8,0,14.8
27861,2750,BURWOOD HWY,F, L1+L2+LT1,S,2,0,7.4,0,7.4
29563,2800,CORIO-WAURN PONDS RD,F, L1+L2+RT1+LT1+LBL,A,2,0,6.4,0,6.4
25916,2800,CORIO-WAURN PONDS RD,R, L1+SL+SR+L2,S,2,2.4,7.1,1.2,10.7
27862,2740,PYRENEES HWY,F, L1+SL+SR+L2,S,2,1.5,6.2,1.5,9.2
28276,5007,BARWON HEADS RD,F, L1+SR+L2+LT1,S,2,0,7.4,1.8,9.2
29564,2660,NEPEAN HWY,R, L1+L2+L3+LT1,A,3,0,10.6,0,10.6
27863,2780,HAMILTON HWY,F, L1+L2,A,2,0,7.6,0,7.6
28277,4890,GREAT OCEAN RD,F, L1+L2+RT1R,S,2,0,7.2,0,7.2
25917,2770,MCIVOR HWY,F, L1+SL+SR+L2+L3,S,3,1.8,10.7,1.8,14.4
29565,2720,MAROONDAH HWY,F, L1+SL+L2,A,2,3.4,7,0,10.4
27864,4005,GREAT ALPINE RD,F, L1+SL+L2+RT1,S,2,1.4,7,0,8.4
28278,5034,COBDEN-PORT CAMPBELL RD,F, L1+L2,S,2,0,6.3,0,6.3
25918,3001,BENAMBRA-CORRYONG RD,F, L1+L2,S,2,0,6,0,6
29566,2660,NEPEAN HWY,F, L1+L2+L3,A,3,0,10.5,0,10.5
27865,2780,HAMILTON HWY,F, L1+L2,S,2,0,7.6,0,7.6
25919,2810,TULLAMARINE FWY,F, L1+SL+SR+L2+L3,A,3,1.5,10.5,1.3,13.3
28279,5030,COBDEN-TERANG RD,F, L1+L2+RPL,S,2,0,6.8,0,6.8
29567,2650,MALLEE HWY,F, L1+SL+L2,S,2,1,7,0,8
27866,4005,GREAT ALPINE RD,F, L1+SL+L2,S,2,3,7.8,0,10.8
25920,2790,KIEWA VALLEY HWY,F, L1+SR+L2,S,2,0,6.4,3.1,9.5
28280,5042,MELTON-WERRIBEE RD,F, L1+L2+RT1+LT1,A,2,0,6.6,0,6.6
29568,2590,MIDLAND HWY,R, L1+L2+LBL,A,2,0,6.8,0,6.8
27867,4003,PAYNESVILLE RD,F, L1+L2+RT1,S,2,0,7.4,0,7.4
25921,4005,GREAT ALPINE RD,F, L1+SL+SR+L2,S,2,1.5,7.2,1.5,10.2
28281,4991,MOUNT DANDENONG RD,F, L1+L2,A,2,0,6.1,0,6.1
29569,2640,GOULBURN VALLEY HWY,F, L1+SL+L2+L3+L4+RT1,S,4,1,14,0,15
27868,2780,HAMILTON HWY,F, L1+L2,S,2,0,6.8,0,6.8
25922,2770,MCIVOR HWY,F, L1+L2+RT1+LBL,A,2,0,7.4,0,7.4
28282,2720,MAROONDAH HWY,F, L1+SL+SR+L2,S,2,2,7,2,11
29570,2640,GOULBURN VALLEY HWY,F, L1+SL+SR+L2,S,2,2,7.2,2,11.2
27869,2860,MOOROODUC HWY,F, L1+SL+SR+L2,A,2,2.2,7.8,1.2,11.2
25923,2750,BURWOOD HWY,R, L1+L2+L3,A,3,0,10.5,0,10.5
28283,2660,NEPEAN HWY,F, L1+L2+LBL+RBL,S,2,0,7,0,7
29571,2700,SUNRAYSIA HWY,F, L1+SL+SR+L2,S,2,1.2,7,1.2,9.4
27870,2730,BELLARINE HWY,R, L1+L2,A,2,0,9.2,0,9.2
25924,3010,BOOLARRA RD,F, L1+L2,S,2,0,6.2,0,6.2
28284,2650,MALLEE HWY,F, L1+L2,S,2,0,6.8,0,6.8
29572,2640,GOULBURN VALLEY HWY,F, L1+SR+L2+LPL,S,2,0,7,2,9
27871,4002,NORTHERN GRAMPIANS RD,F, L1+L2,S,2,0,6.8,0,6.8
25925,2750,BURWOOD HWY,R, L1+L2+L3+RT1,A,3,0,10.5,0,10.5
28285,2590,MIDLAND HWY,R, L1+L2+LBL,A,2,0,6.8,0,6.8
29573,2630,LODDON VALLEY HWY,F, L1+L2+RIP,S,2,0,7.2,0,7.2
27872,2780,HAMILTON HWY,F, L1+L2,A,2,0,7.4,0,7.4
25926,2750,BURWOOD HWY,R, L1+L2+L3+RON1,A,3,0,10.8,0,10.8
28286,2720,MAROONDAH HWY,F, L1+L2+L3,A,3,0,9.6,0,9.6
27873,2860,MOOROODUC HWY,F, L1+L2+L3+RT1,A,3,0,10.2,0,10.2
29574,2650,MALLEE HWY,F, L1+L2,S,2,0,8.2,0,8.2
25927,2790,KIEWA VALLEY HWY,F, L1+L2,S,2,0,6.2,0,6.2
27874,2730,BELLARINE HWY,R, L1+SL+L2,S,2,2.2,7,0,9.2
28287,2620,HENTY HWY,F, L1+L2,A,2,0,7.4,0,7.4
29575,2640,GOULBURN VALLEY HWY,R, L1+SL+L2+LBL,A,2,1.8,6.8,0,8.6
27875,2830,EASTERN HWY,R, L1+SL+SR+L2+L3+RON1+RON2,A,3,4.3,10.5,2.6,17.4
28288,2620,HENTY HWY,F, L1+L2,S,2,0,7.4,0,7.4
25928,2780,HAMILTON HWY,F, L1+L2,S,2,0,7.6,0,7.6
29576,2710,BASS HWY,F, L1+L2,S,2,0,7.4,0,7.4
27876,2730,BELLARINE HWY,R, L1+SL+L2+RT1,S,2,2.2,7,0,9.2
25929,4005,GREAT ALPINE RD,F, L1+SL+SR+L2,S,2,1.5,7,1.5,10
28289,2710,BASS HWY,R, L1+SL+L2+RT1+LT1,S,2,2.7,7,0,9.7
29577,2700,SUNRAYSIA HWY,F, L1+L2,S,2,0,6.8,0,6.8
27877,2780,HAMILTON HWY,F, L1+SL+SR+L2,S,2,1.5,7.4,1.5,10.4
25930,4004,METUNG RD,F, L1+SL+SR+L2,S,2,1.5,6,1.5,9
29578,2670,GLENELG HWY,F, L1+L2,S,2,0,6.4,0,6.4
27878,2820,WEST GATE FWY,F, L1+SR+L2+L3+L4+L5+RON1+RON2,A,5,0,17,2.2,19.2
28290,2700,SUNRAYSIA HWY,F, L1+L2,S,2,0,6.2,0,6.2
25931,2860,MOOROODUC HWY,R, L1+SL+SR,A,1,1.2,3.6,3,7.7
29579,2660,NEPEAN HWY,F, L1+L2+LT1,U,2,0,7.4,0,7.4
28291,2670,GLENELG HWY,F, L1+SL+SR+L2,S,2,1.5,7.2,2.8,11.5
27879,2900,WESTERN RING RD,R, L1+SL+SR+L2+L3+L4+ROF1+ROF2,A,4,2.4,14,1.5,17.9
29580,2640,GOULBURN VALLEY HWY,F, L1+SL+SR+L2,S,2,2.4,7.4,2.4,12.2
25932,2730,BELLARINE HWY,F, L1+L2+RT1+RT2+LBL,A,2,0,6.8,0,6.8
28292,2660,NEPEAN HWY,F, L1+L2+L3+L4+RT1,A,4,0,14,0,14
27880,2860,MOOROODUC HWY,R, L1+L2+L3+RT1+RT2,A,3,0,10.5,0,10.5
25933,2800,CORIO-WAURN PONDS RD,R, L1+L2+RT1+LBL,A,2,0,7.2,0,7.2
29581,2640,GOULBURN VALLEY HWY,F, L1+SL+SR+L2,S,2,1.8,7.8,2.4,12
28293,2590,MIDLAND HWY,R, L1+L2,U,2,0,8.3,0,8.3
27881,2750,BURWOOD HWY,R, L1+L2+L3+RT1,S,3,0,10.9,0,10.9
25934,2780,HAMILTON HWY,F, L1+L2+L3+RT1R,A,3,0,10.7,0,10.7
29582,2690,BORUNG HWY,F, L1+L2,S,2,0,7.4,0,7.4
28294,2720,MAROONDAH HWY,F, L1+L2+L3+RT1,S,3,0,11,0,11
27882,2750,BURWOOD HWY,F, L1+L2+RT1+LT1,S,2,0,7.4,0,7.4
29583,2670,GLENELG HWY,F, L1+L2+RT1,S,2,0,11,0,11
25935,2770,MCIVOR HWY,F, L1+SL+SR+L2,S,2,1.5,7.4,2.5,11.4
28295,2660,NEPEAN HWY,F, L1+L2+L3+RT1,A,3,0,9,0,9
27883,2740,PYRENEES HWY,F, L1+L2,S,2,0,7.6,0,7.6
28296,2700,SUNRAYSIA HWY,F, L1+L2,S,2,0,7.6,0,7.6
27884,2780,HAMILTON HWY,F, L1+SL+SR+L2,S,2,0.8,6.4,0.8,8
29584,2640,GOULBURN VALLEY HWY,F, L1+SL+SR+L2,S,2,2,7.2,2,11.2
25936,3001,BENAMBRA-CORRYONG RD,F, L1+L2+LIP+RIP,S,2,0,7.8,0,7.8
27885,4005,GREAT ALPINE RD,F, L1+L2,S,2,0,6.2,0,6.2
25937,2900,WESTERN RING RD,F, L1+SL+SR+L2+L3,A,3,2.4,10.2,2.4,15
29585,2670,GLENELG HWY,F, L1+L2,A,2,0,7.6,0,7.6
28297,2670,GLENELG HWY,F, L1+SR+L2+RT1,S,2,0,7.6,1.8,9.4
27886,4005,GREAT ALPINE RD,F, L1+L2+RT1,S,2,0,7,0,7
25938,2750,BURWOOD HWY,R, L1+L2+L3+RT1,A,3,0,10.8,0,10.8
29586,2830,EASTERN HWY,R, L1+L2+L3+L4+RT1+LT1,A,4,0,13.3,0,13.3
28298,2620,HENTY HWY,F, L1+SL+SR+L2,S,2,1.6,6.2,1.6,9.4
25939,2750,BURWOOD HWY,F, L1+L2+L3+RT1,A,3,0,11.1,0,11.1
27887,2850,GREENSBOROUGH HWY,F, L1+L2+L3+L4+RT1R,A,4,0,13.4,0,13.4
29587,2720,MAROONDAH HWY,R, L1+L2+L3+LT1,S,3,0,11.1,0,11.1
28299,2640,GOULBURN VALLEY HWY,R, SL+L3+RT1+LPL,S,4,0,14.7,0,14.7
25940,2740,PYRENEES HWY,F, L1+SR+L2+LT1+RT1R+NTZL,A,2,0,7,2.8,9.8
27888,2840,FRANKSTON FWY,F, L1+SL+SR+L2+L3,S,3,3,10.9,1.2,15
29588,2780,HAMILTON HWY,F, L1+L2,S,2,0,7.5,0,7.5
28300,2720,MAROONDAH HWY,F, L1+L2+L3+RT1,U,3,0,9.3,0,9.3
25941,2780,HAMILTON HWY,F, L1+SL+SR+L2,S,2,0.8,6.8,0.8,8.4
27889,2730,BELLARINE HWY,R, L1+SL+L2,S,2,2.2,7,0,9.2
29589,2800,CORIO-WAURN PONDS RD,F, L1+L2+LT1,A,2,0,7.4,0,7.4
28301,2710,BASS HWY,F, L1+SL+L2+RT1+LT1,S,2,2.9,7.2,0,10.1
27890,2800,CORIO-WAURN PONDS RD,F, L1+L2+RT1+LPL,S,2,0,7.4,0,7.4
25942,4005,GREAT ALPINE RD,F, L1+L2,S,2,0,6.4,0,6.4
28302,2640,GOULBURN VALLEY HWY,F, L1+SL+SR+L2,S,2,2,7.2,2,11.2
29590,4011,MARLO RD,F, L1+L2,S,2,0,6.2,0,6.2
27891,2640,GOULBURN VALLEY HWY,F, L1+L2+L3+L4,S,4,0,14.5,0,14.5
25943,4005,GREAT ALPINE RD,F, L1+L2,S,2,0,7.2,0,7.2
29591,2820,WEST GATE FWY,F, L1+SL+SR+L2+L3+L4+RON1+RON2+RONSHL,A,4,2.6,14.4,2.4,19.4
28303,2710,BASS HWY,F, L1+SL+SR+L2+RT1,S,2,1.5,7.2,1.5,10.2
27892,2640,GOULBURN VALLEY HWY,F, L1+SL+SR+L2+L3,S,3,1.5,11,2,14.5
25944,2850,GREENSBOROUGH HWY,F, L1+L2+L3+L4,A,4,0,15.9,0,15.9
29592,2720,MAROONDAH HWY,R, L1+L2+L3,S,3,0,11.1,0,11.1
28304,2700,SUNRAYSIA HWY,F, L1+L2,S,2,0,7.4,0,7.4
27893,2700,SUNRAYSIA HWY,F, L1+SL+SR+L2,S,2,0.8,7,0.8,8.6
25945,2840,FRANKSTON FWY,F, L1+SL+SR+L2+L3+ROF1+ROF2+ROFSHL+ROFSHR,S,3,3,11.1,2.8,16.9
29593,2800,CORIO-WAURN PONDS RD,R, L1+L2+L3,U,3,0,10.2,0,10.2
27894,2640,GOULBURN VALLEY HWY,F, L1+SL+SR+L2,S,2,2,7.2,2,11.2
25946,2730,BELLARINE HWY,F, L1+L2+LBL,S,2,0,6.4,0,6.4
28305,2640,GOULBURN VALLEY HWY,F, L1+SL+SR,S,1,2,4,2.4,8.4
29594,2790,KIEWA VALLEY HWY,F, L1+SL+L2+LT1R+NTZM,S,2,2.4,7.2,0,9.6
25947,2800,CORIO-WAURN PONDS RD,F, L1+L2+LBL+NTZL,A,2,0,6.4,0,6.4
28306,2700,SUNRAYSIA HWY,F, L1+L2,S,2,0,6.8,0,6.8
27895,2630,LODDON VALLEY HWY,F, L1+SL+L2,S,2,2.6,7.6,0,10.2
29595,2770,MCIVOR HWY,F, L1+SL+SR+L2,S,2,2.7,7.4,1.6,11.7
28307,2640,GOULBURN VALLEY HWY,F, L1+L2,S,2,0,6.2,0,6.2
25948,2610,STURT HWY,F, L1+SL+SR+L2,S,2,1.4,7.4,1.4,10.2
27896,2650,MALLEE HWY,F, L1+L2,S,2,0,7.4,0,7.4
29596,3005,SHELLEY-WALWA RD,F, L1+L2,S,2,0,7.6,0,7.6
28308,2630,LODDON VALLEY HWY,F, L1+SL+SR+L2,S,2,1.6,7.2,1.6,10.4
25949,2720,MAROONDAH HWY,F, L1+L2+LBL,A,2,0,7,0,7
27897,2640,GOULBURN VALLEY HWY,R, L1+SL+L2+RT1+LBL,S,2,1.8,6.8,0,8.6
29597,2750,BURWOOD HWY,R, L1+L2+L3+RT1+LT1,A,3,0,10.5,0,10.5
28309,2650,MALLEE HWY,F, L1+L2,S,2,0,7.5,0,7.5
25950,2640,GOULBURN VALLEY HWY,F, L1+L2,A,2,0,7.6,0,7.6
27898,2620,HENTY HWY,F, L1+L2,S,2,0,6.2,0,6.2
29598,2750,BURWOOD HWY,F, L1+L2,A,2,0,8.5,0,8.5
25951,2660,NEPEAN HWY,R, L1+L2+L3,A,3,0,11,0,11
29599,2790,KIEWA VALLEY HWY,F, L1+L2,S,2,0,6.4,0,6.4
28310,2640,GOULBURN VALLEY HWY,R, L1+SL+L2,S,2,1.8,6.8,0,8.6
27899,2710,BASS HWY,R, L1+SL+L2+LT1,S,2,2.7,7.2,0,9.9
25952,2650,MALLEE HWY,F, L1+SL+SR+L2,S,2,1.5,7.4,1.5,10.4
28311,2780,HAMILTON HWY,F, L1+NTZL,A,1,0,3.8,0,3.8
29600,4005,GREAT ALPINE RD,F, L1+L2,S,2,0,7.2,0,7.2
27900,2700,SUNRAYSIA HWY,F, L1+L2,S,2,0,6.2,0,6.2
28312,2810,TULLAMARINE FWY,R, L1+SL+SR+L2+L3+RON1+RON2,A,3,2.8,11.1,1.8,15.7
29601,4005,GREAT ALPINE RD,F, L1+L2,S,2,0,7.6,0,7.6
25953,2610,STURT HWY,F, L1+L2+L3+L4,A,4,0,14.6,0,14.6
27901,2670,GLENELG HWY,F, L1+SL+SR+L2,A,2,1.5,6.8,1.5,9.8
28313,2800,CORIO-WAURN PONDS RD,F, L1+L2+L3+RT1,A,3,0,9.9,0,9.9
29602,4016,RIDGE RD,F, L1+L2,S,2,0,6.7,0,6.7
25954,2720,MAROONDAH HWY,F, L1+L2+L3+RT1,A,3,0,10.8,0,10.8
27902,2750,BURWOOD HWY,R, L1+L2+L3+LT1,A,3,0,10.5,0,10.5
28314,4008,MARYSVILLE RD,F, L1+L2,A,2,0,9,0,9
25955,2670,GLENELG HWY,R, L1+L2,S,2,0,7.6,0,7.6
27903,2750,BURWOOD HWY,R, L1+L2,A,2,0,7.1,0,7.1
29603,2820,WEST GATE FWY,R, L1+SL+SR+L2+L3+L4+L5,A,5,2.6,17.7,1.8,22.1
28315,2730,BELLARINE HWY,R, L1+L2+RT1+LBL,S,2,0,6.8,0,6.8
27904,2790,KIEWA VALLEY HWY,F, L1+L2,S,2,0,6.8,0,6.8
25956,2630,LODDON VALLEY HWY,F, L1+L2+LBL+LPL+RBL,A,2,0,7.4,0,7.4
29604,2720,MAROONDAH HWY,R, L1+L2+L3+RT1,A,3,0,11.1,0,11.1
28316,2900,WESTERN RING RD,R, L1+SL+SR+L2+L3+L4+ROF1+ROF2,A,4,3,17.5,1.2,21.7
27905,4005,GREAT ALPINE RD,F, L1+L2,S,2,0,7.2,0,7.2
25957,2620,HENTY HWY,R, L1+L2,S,2,0,7.6,0,7.6
29605,2810,TULLAMARINE FWY,F, L1+SL+SR+L2+ROF1+ROF2,U,2,2.6,7.4,1.4,11.4
28317,2750,BURWOOD HWY,F, L1+L2+L3+L4+LT1,A,4,0,14.2,0,14.2
27906,2780,HAMILTON HWY,F, L1+L2,S,2,0,7.4,0,7.4
25958,2670,GLENELG HWY,F, L1+SL+SR+L2,S,2,3,7.6,3,13.6
29606,2790,KIEWA VALLEY HWY,F, L1+L2,S,2,0,6.4,0,6.4
28318,2750,BURWOOD HWY,F, L1+L2+L3,A,3,0,9.1,0,9.1
25959,2630,LODDON VALLEY HWY,F, L1+SL+SR+L2,S,2,1.1,7,1.7,9.8
27907,4005,GREAT ALPINE RD,F, L1+SL+SR+L2,S,2,1.2,7.6,1.2,10
29607,4005,GREAT ALPINE RD,R, L1+L2+RT1,S,2,0,7,0,7
28319,2740,PYRENEES HWY,F, L1+L2,S,2,0,6.2,0,6.2
25960,2660,NEPEAN HWY,F, L1+L2+L3+L4+RT1+RT2+LT1,A,4,0,13.2,0,13.2
29608,2730,BELLARINE HWY,R, L1+L2+RT1+LBL,S,2,0,6.2,0,6.2
27908,4003,PAYNESVILLE RD,F, L1+L2,A,2,0,9.5,0,9.5
25961,2601,MORNINGTON PENINSULA FWY,F, L1+SL+SR+L2+ROF1+ROFSHL,A,2,3.2,7,1.2,11.4
28320,2860,MOOROODUC HWY,R, L1+L2+L3,A,3,0,10.2,0,10.2
29609,2770,MCIVOR HWY,F, L1+SL+L2+LBL,S,2,1.5,6.2,0,7.7
27909,2780,HAMILTON HWY,F, L1+L2,A,2,0,6.9,0,6.9
28321,2750,BURWOOD HWY,F, L1+L2+L3+L4+RT1+LT1,A,4,0,14,0,14
25962,2720,MAROONDAH HWY,F, L1+L2+L3,S,3,0,11,0,11
29610,2750,BURWOOD HWY,R, L1+L2+L3+RT1+RT2+LT1,A,3,0,10.5,0,10.5
27910,2860,MOOROODUC HWY,F, L1+SL+SR+L2+LT1,S,2,2.2,7.5,1.2,10.9
28322,4005,GREAT ALPINE RD,F, L1+L2,S,2,0,8.6,0,8.6
25963,2660,NEPEAN HWY,F, L1+L2+LBL+LPL,A,2,0,7,0,7
27911,2730,BELLARINE HWY,R, L1+L2+LBL,A,2,0,6.2,0,6.2
29611,2780,HAMILTON HWY,F, L1+L2,S,2,0,7.6,0,7.6
28323,2810,TULLAMARINE FWY,R, L1+SL+SR+L2+RON1+RON2,U,2,2,7.5,1.4,10.9
25964,2640,GOULBURN VALLEY HWY,F, L1+L2+RT1+LPL,S,2,0,7,0,7
27912,2800,CORIO-WAURN PONDS RD,R, L1+L2+RT1+LT1,A,2,0,7.8,0,7.8
29612,4005,GREAT ALPINE RD,F, L1+L2,S,2,0,8,0,8
28324,2790,KIEWA VALLEY HWY,F, L1+L2+RPL,S,2,0,7.6,0,7.6
25965,2700,SUNRAYSIA HWY,F, L1+SL+SR+L2,S,2,1.6,7,1.6,10.2
27913,2770,MCIVOR HWY,R, L1+L2+RT1+LBL,U,2,0,6,0,6
29613,4004,METUNG RD,F, L1+L2,S,2,0,10.6,0,10.6
28325,4008,MARYSVILLE RD,F, L1+SL+SR+L2,S,2,1.2,6.5,1.2,8.9
25966,2670,GLENELG HWY,F, L1+SL+SR+L2,S,2,1,7.2,1,9.2
27914,2760,MONARO HWY,F, L1+L2,S,2,0,7.6,0,7.6
28326,2730,BELLARINE HWY,R, L1+L2+RT1+LT1+LBL,S,2,0,7,0,7
29614,2860,MOOROODUC HWY,R, L1+SL+SR+L2+RT1,S,2,2.6,7.6,1.2,11.4
27915,4002,NORTHERN GRAMPIANS RD,F, L1+L2,S,2,0,7.4,0,7.4
25967,2710,BASS HWY,F, L1+L2,A,2,0,7.2,0,7.2
28327,2900,WESTERN RING RD,F, L1+SL+L2+L3+L4,A,4,2.4,14,0,16.4
29615,2740,PYRENEES HWY,F, L1+L2+LPL+RPL,S,2,0,7.4,0,7.4
27916,2780,HAMILTON HWY,F, L1+L2,S,2,0,7.4,0,7.4
25968,2640,GOULBURN VALLEY HWY,F, L1+L2+RT1,S,2,0,7.2,0,7.2
29616,2880,METROPOLITAN RING RD,F, L1+SL+SR+L2+L3+RON1+RON2,A,3,2.4,10.5,2.5,15.4
28328,2750,BURWOOD HWY,F, L1+L2+L3,A,3,0,10.7,0,10.7
27917,4005,GREAT ALPINE RD,F, L1+L2,S,2,0,8,0,8
25969,2710,BASS HWY,F, L1+SL+SR+L2+L3,S,3,2.1,10.5,2.1,14.7
29617,2740,PYRENEES HWY,F, L1+L2,S,2,0,7.4,0,7.4
28329,2750,BURWOOD HWY,F, L1+L2+L3+L4,A,4,0,14,0,14
27918,4005,GREAT ALPINE RD,F, L1+L2,A,2,0,9.8,0,9.8
25970,2700,SUNRAYSIA HWY,F, L1+L2,S,2,0,7.2,0,7.2
29618,2750,BURWOOD HWY,R, L1+L2+L3,A,3,0,10.5,0,10.5
28330,2740,PYRENEES HWY,F, L1+SL+SR+L2,S,2,1,7.4,1,9.4
27919,2860,MOOROODUC HWY,R, L1+SL+SR+L2,S,2,2.6,7.4,1.2,11.2
25971,2640,GOULBURN VALLEY HWY,F, L1+SL+L2,S,2,2.4,7.4,0,9.8
29619,2750,BURWOOD HWY,R, L1+L2,A,2,0,7.4,0,7.4
27920,2740,PYRENEES HWY,F, L1+SL+L2,S,2,2,7.4,0,9.4
28331,2860,MOOROODUC HWY,R, L1+SR+L2+LT1,S,2,0,7.6,1.5,9.1
25972,2670,GLENELG HWY,F, L1+SL+SR+L2,S,2,1,7.2,0.8,9
29620,2790,KIEWA VALLEY HWY,F, L1+SR+L2,S,2,0,6.8,1.5,8.3
27921,2800,CORIO-WAURN PONDS RD,F, L1+L2+L3+L4+LT1,A,4,0,13.5,0,13.5
28332,4005,GREAT ALPINE RD,F, L1+L2,S,2,0,5.8,0,5.8
25973,2720,MAROONDAH HWY,F, L1+L2+L3,A,3,0,10.7,0,10.7
29621,4005,GREAT ALPINE RD,F, L1+L2,S,2,0,7.6,0,7.6
27922,4010,BOGONG HIGH PLAINS RD,F, L1+L2,S,2,0,7.4,0,7.4
28333,4005,GREAT ALPINE RD,F, L1+SR+L2+LT1,S,2,0,7,1.4,8.4
29622,2780,HAMILTON HWY,F, L1+L2,S,2,0,6.4,0,6.4
25974,2710,BASS HWY,F, L1+SL+L2+RT1,A,2,2.9,7.2,0,10.1
28334,2860,MOOROODUC HWY,R, L1+SL+SR+L2,S,2,2.6,7.6,1.2,11.4
29623,4005,GREAT ALPINE RD,F, L1+L2,S,2,0,7.6,0,7.6
25975,2640,GOULBURN VALLEY HWY,R, L1+SL+L2+LBL,A,2,1.8,8,0,9.8
28335,2730,BELLARINE HWY,F, L1+L2,A,2,0,16,0,16
27923,2730,BELLARINE HWY,F, L1+SL+SR+L2+NTZM,S,2,1.5,6.8,1.7,10
25976,2710,BASS HWY,F, L1+SL+SR+L2,A,2,3.3,7.4,2.6,13.2
29624,4003,PAYNESVILLE RD,F, L1+L2,S,2,0,7,0,7
28336,2830,EASTERN HWY,R, L1+SL+SR+L2+L3+RON1+RON2,A,3,3.7,10.8,2.6,17.1
25977,2700,SUNRAYSIA HWY,F, L1+L2+LPL+RPL,S,2,0,7.4,0,7.4
